,loss,learning_rate,epoch,step,eval_loss,eval_f1,eval_roc_auc,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0,0.11,9e-06,1.0,10853,,,,,,,,,,,,
1,,,1.0,10853,0.0890939012169838,0.5569739065139853,0.7280335832503478,0.4430519719867306,123.5173,43.929,10.986,,,,,
2,0.0839,8.000000000000001e-06,2.0,21706,,,,,,,,,,,,
3,,,2.0,21706,0.08464271575212479,0.594151212553495,0.7559618462379301,0.49244378916328785,111.6384,48.603,12.155,,,,,
4,0.0748,7e-06,3.0,32559,,,,,,,,,,,,
5,,,3.0,32559,0.08419934660196304,0.5901283673838366,0.7509281278158094,0.4804644305197199,109.8212,49.408,12.356,,,,,
6,0.0668,6e-06,4.0,43412,,,,,,,,,,,,
7,,,4.0,43412,0.08748233318328857,0.5921259842519685,0.7594805639101017,0.48488757832657575,108.7354,49.901,12.48,,,,,
8,0.059,5e-06,5.0,54265,,,,,,,,,,,,
9,,,5.0,54265,0.0932849571108818,0.5803144224196856,0.7595209560615925,0.4740140066347217,108.7162,49.91,12.482,,,,,
10,0.0521,4.000000000000001e-06,6.0,65118,,,,,,,,,,,,
11,,,6.0,65118,0.09999457001686096,0.5716446760231952,0.7592600999547445,0.4657206044968669,109.3691,49.612,12.408,,,,,
12,0.0462,3e-06,7.0,75971,,,,,,,,,,,,
13,,,7.0,75971,0.10456004738807678,0.5842771485676215,0.7676388093064,0.48009583486914853,108.5729,49.976,12.499,,,,,
14,0.0411,2.0000000000000003e-06,8.0,86824,,,,,,,,,,,,
15,,,8.0,86824,0.10882259905338287,0.568528756498061,0.7621037642797263,0.462956137117582,110.4267,49.137,12.289,,,,,
16,0.0371,1.0000000000000002e-06,9.0,97677,,,,,,,,,,,,
17,,,9.0,97677,0.11249161511659622,0.574913466293061,0.765569858434921,0.4657206044968669,110.3914,49.152,12.293,,,,,
18,0.0343,0.0,10.0,108530,,,,,,,,,,,,
19,,,10.0,108530,0.11384149640798569,0.5720865202730487,0.7646659241265072,0.4659049023221526,111.8432,48.514,12.133,,,,,
20,,,10.0,108530,,,,,,,,31914.5863,13.602,3.401,5.71215861172224e+16,0.06052686072138392
21,,,10.0,108530,0.08464271575212479,0.594151212553495,0.7559618462379301,0.49244378916328785,83.771,64.772,16.199,,,,,
